Uuid,Concept Numeric uuid,Label,Absolute low,Critical low,Normal low,Normal high,Critical high,Absolute high,Criteria
bc30a842-9a46-470b-a51f-87dc3f1f6ef5,21AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"HB Newborn (0-7 days, >=32 weeks gestation)",0,11,14.5,18.5,24,,"$patient.getAgeInDays() >= 0 && $patient.getAgeInDays() <= 7 && $fn.getObsWeeks('CIEL:1427', $patient) >= 32"
337d4c51-450b-4a0d-b882-2d789e786617,21AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"HB Newborn (8-14 days, >=35 weeks gestation)",0,7,13.4,16.6,22,,"$patient.getAgeInDays() >= 8 && $patient.getAgeInDays() <= 14 && $fn.getObsWeeks('CIEL:1427', $patient) >= 35"
2eae92d9-5c28-45f5-8e76-86de814a83e5,21AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"HB Newborn (8-14 days, 32-35 weeks gestation)",0,10,13.4,16.6,22,,"$patient.getAgeInDays() >= 8 && $patient.getAgeInDays() <= 14 && $fn.getObsWeeks('CIEL:1427', $patient) >= 32 && $fn.getObsWeeks('CIEL:1427', $patient) < 35"
ea80b6b2-b7fd-47ff-9d54-2b70ee5cdc05,21AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"HB Newborn (>15 days, >=35 weeks gestation)",0,7,13.5,15.5,22,,"$patient.getAgeInDays() > 15 && $fn.getObsWeeks('CIEL:1427', $patient) >= 35"
95494935-c29f-4669-b52e-95551c5a4771,21AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"HB Newborn (>15 days, 32-35 weeks gestation)",0,8,13.5,15.5,22,,"$patient.getAgeInDays() > 15 && $fn.getObsWeeks('CIEL:1427', $patient) >= 32 && $fn.getObsWeeks('CIEL:1427', $patient) < 35"
473a0997-0133-4107-bf92-8d7aaa2918d6,773c06ca-366e-4ba8-ab9d-6fded5357a8c,HB Term (cord),0,7,13.5,16.5,22,,"$patient.isCordBlood() == true && $fn.getObsWeeks('CIEL:1427', $patient) >= 37"
b3f71f06-3756-42e3-b4eb-076d165f98b0,21AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,HB 1 - 3 days,0,7,14.5,18.5,24,,$patient.getAgeInDays() >= 1 && $patient.getAgeInDays() <= 3
9847ea2f-cdec-49c7-be52-cacb96881083,21AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,HB 2 weeks,0,7,13.4,16.6,22,,$patient.getAgeInWeeks() == 2
533fce63-7f91-406c-ad1f-54c86f949037,21AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,HB Newborn (1 month),0,7,10.0,14,20,,$patient.getAgeInMonths() == 1
f167da95-e9da-4d19-8f51-c1ac2b190c31,21AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,HB Children (2 months - 5 months),0,7,9.5,13.5,18,,$patient.getAgeInMonths() >= 2 && $patient.getAgeInMonths() < 6
a5624f48-0c74-4ff5-bb5f-bb29ba8cb75a,21AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,HB Children (6 months - 2 years),0,7,10.5,13.5,18,,$patient.getAgeInMonths() >= 6 && $patient.getAge() < 2 
d30213a2-3a23-4ccc-a4d1-f68384085a3a,21AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,HB Children (2 - 6 years),0,7,11.5,13.5,17,,$patient.getAge() >= 2 && $patient.getAge() < 6
5a475b8e-b87f-4079-9ba6-6078758292b6,21AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,HB Children (6 - 12 years),0,7,11.5,13.5,19,,$patient.getAge() >= 6 && $patient.getAge() < 12
0e4b4deb-cb51-419e-a028-20261ecb07d0,21AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,HB Adolescents (12 - 18 years) - F,0,7,12,14,18,,"$patient.getAge() >= 12 && $patient.getAge() <= 18 && $patient.getGender() == ""F"""
fa12e429-07ce-4e9e-b544-0b2c11e6c758,21AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,HB Adolescents (12 - 18 years) - M,0,7,13,14.5,20,,"$patient.getAge() >= 12 && $patient.getAge() <= 18 && $patient.getGender() == ""M"""
4e173474-5d2b-47f0-9cdd-f83adc4d8941,21AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,HB Adult Men (>18 years),0,7,13.5,15.5,22,,"$patient.getAge() > 18 && $patient.getGender() == ""M"""
d33bc026-ce44-4481-8ee0-033fc74a0f88,21AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"HB Adult Women (>18 years, Non-Pregnant)",0,7,12,14,20,,"$patient.getAge() > 18 && $patient.getGender() == ""F"" && !($fn.isObsValueCodedAnswer(""CIEL:45"", $patient, ""703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"") || $fn.isObsValueCodedAnswer(""CIEL:1945"", $patient, ""703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"") || $fn.isObsValueCodedAnswer(""CIEL:5272"", $patient, ""CIEL:1065""))"
